iter	Passed	Remaining
0	8	830
1	19	956
2	25	821
3	35	859
4	41	793
5	50	792
6	56	753
7	66	760
8	72	731
9	79	719
10	87	708
11	94	691
12	102	684
13	108	664
14	117	665
15	125	660
16	133	652
17	141	644
18	152	649
19	165	662
20	172	649
21	182	646
22	192	643
23	199	632
24	205	617
25	215	613
26	221	599
27	230	592
28	236	579
29	245	572
30	251	559
31	260	552
32	265	539
33	273	531
34	281	523
35	290	516
36	296	504
37	302	494
38	310	485
39	317	475
40	326	469
41	332	459
42	342	454
43	350	446
44	364	445
45	376	442
46	382	431
47	396	429
48	407	423
49	414	414
50	423	406
51	432	399
52	441	391
53	447	381
54	457	374
55	463	364
56	475	358
57	483	349
58	494	343
59	503	335
60	510	326
61	519	318
62	528	310
63	543	305
64	553	298
65	560	288
66	569	280
67	575	270
68	583	262
69	592	253
70	602	246
71	612	238
72	622	230
73	631	222
74	640	213
75	652	206
76	659	197
77	671	189
78	678	180
79	688	172
80	694	162
81	704	154
82	710	145
83	720	137
84	730	128
85	739	120
86	749	111
87	768	104
88	779	96
89	789	87
90	802	79
91	813	70
92	821	61
93	830	53
94	837	44
95	846	35
96	852	26
97	864	17
98	870	8
99	880	0
