iter	Passed	Remaining
0	4	4799
1	15	7559
2	19	6579
3	27	6869
4	32	6415
5	53	8832
6	63	8938
7	65	8108
8	68	7535
9	70	7024
10	76	6917
11	79	6536
12	81	6179
13	83	5903
14	86	5659
15	92	5665
16	94	5447
17	96	5256
18	98	5109
19	100	4935
20	108	5037
21	110	4903
22	112	4787
23	114	4676
24	116	4557
25	122	4600
26	125	4520
27	127	4421
28	129	4350
29	131	4267
30	138	4332
31	140	4261
32	142	4188
33	146	4153
34	155	4275
35	157	4217
36	159	4147
37	161	4090
38	163	4025
39	165	3983
40	169	3969
41	171	3921
42	174	3880
43	176	3836
44	178	3784
45	180	3745
46	185	3758
47	187	3716
48	189	3679
49	192	3650
50	193	3607
51	195	3571
52	201	3607
53	204	3574
54	206	3542
55	208	3519
56	210	3483
57	213	3475
58	218	3477
59	220	3450
60	222	3428
61	224	3396
62	226	3365
63	229	3362
64	233	3354
65	235	3338
66	238	3326
67	240	3298
68	243	3280
69	249	3314
70	251	3297
71	255	3289
72	257	3266
73	262	3282
74	264	3266
75	266	3242
76	269	3226
77	270	3202
78	272	3178
79	275	3166
80	279	3176
81	282	3158
82	284	3140
83	286	3125
84	288	3103
85	291	3097
86	295	3103
87	297	3086
88	300	3073
89	302	3053
90	303	3033
91	306	3020
92	310	3028
93	312	3011
94	315	3001
95	316	2983
96	318	2966
97	320	2953
98	325	2964
99	327	2950
100	330	2938
101	332	2925
102	334	2908
103	335	2893
104	340	2901
105	342	2889
106	345	2879
107	347	2870
108	349	2859
109	352	2848
110	357	2861
111	359	2849
112	361	2839
113	363	2828
114	365	2816
115	368	2808
116	372	2812
117	374	2801
118	376	2788
119	378	2777
120	380	2764
121	382	2755
122	388	2769
123	390	2760
124	393	2754
125	396	2750
126	404	2782
127	408	2779
128	409	2767
129	411	2756
130	413	2744
131	417	2748
132	420	2742
133	422	2732
134	425	2727
135	427	2714
136	429	2705
137	434	2713
138	437	2707
139	439	2700
140	441	2691
141	443	2680
142	446	2673
143	451	2682
144	453	2672
145	456	2667
146	457	2657
147	459	2646
148	462	2639
149	466	2645
150	469	2638
151	472	2636
152	474	2626
153	476	2616
154	481	2623
155	483	2617
156	486	2610
157	488	2604
158	490	2595
159	492	2587
160	497	2594
161	499	2584
162	502	2579
163	504	2571
164	506	2561
165	509	2558
166	513	2560
167	515	2552
168	518	2548
169	520	2539
170	522	2530
171	525	2530
172	529	2528
173	531	2522
174	534	2517
175	535	2508
176	538	2503
177	544	2513
178	546	2507
179	548	2500
180	558	2527
181	565	2539
182	572	2557
183	576	2555
184	578	2549
185	581	2545
186	587	2552
187	590	2551
188	594	2550
189	596	2541
190	599	2540
191	605	2547
192	608	2544
193	611	2542
194	614	2537
195	619	2541
196	624	2543
197	626	2536
198	628	2529
199	631	2524
200	633	2517
201	638	2522
202	641	2516
203	643	2510
204	645	2503
205	647	2496
206	654	2506
207	656	2500
208	658	2493
209	661	2486
210	662	2478
211	665	2472
212	670	2479
213	672	2471
214	674	2464
215	677	2457
216	678	2449
217	681	2443
218	686	2446
219	688	2439
220	690	2432
221	692	2426
222	694	2418
223	696	2413
224	701	2416
225	703	2409
226	705	2402
227	707	2395
228	709	2387
229	711	2380
230	716	2386
231	718	2379
232	720	2372
233	723	2367
234	724	2359
235	727	2354
236	732	2357
237	734	2350
238	736	2344
239	738	2338
240	740	2331
241	743	2327
242	747	2328
243	750	2324
244	752	2319
245	754	2312
246	756	2307
247	761	2310
248	764	2305
249	766	2298
250	768	2293
251	771	2288
252	774	2285
253	778	2286
254	780	2280
255	782	2275
256	786	2273
257	794	2284
258	796	2279
259	798	2273
260	801	2269
261	804	2265
262	809	2267
263	811	2262
264	813	2256
265	815	2250
266	817	2245
267	820	2240
268	824	2239
269	826	2234
270	830	2234
271	834	2233
272	837	2230
273	839	2224
274	842	2220
275	844	2215
276	851	2221
277	853	2215
278	855	2210
279	857	2205
280	860	2202
281	867	2208
282	870	2206
283	873	2201
284	875	2196
285	883	2206
286	885	2200
287	888	2196
288	890	2190
289	896	2194
290	905	2205
291	908	2202
292	915	2209
293	918	2206
294	920	2200
295	932	2217
296	934	2212
297	939	2212
298	941	2207
299	944	2203
300	947	2199
301	950	2195
302	956	2199
303	959	2196
304	961	2191
305	963	2185
306	965	2179
307	970	2180
308	972	2175
309	974	2169
310	976	2163
311	978	2157
312	980	2151
313	983	2147
314	987	2148
315	989	2142
316	992	2138
317	994	2132
318	995	2126
319	1000	2126
320	1003	2121
321	1005	2116
322	1007	2111
323	1010	2107
324	1011	2101
325	1017	2103
326	1019	2098
327	1021	2093
328	1024	2089
329	1026	2084
330	1028	2079
331	1033	2079
332	1035	2074
333	1038	2070
334	1040	2064
335	1041	2058
336	1043	2053
337	1048	2053
338	1050	2048
339	1052	2043
340	1055	2039
341	1057	2033
342	1059	2029
343	1063	2028
344	1066	2023
345	1068	2019
346	1070	2014
347	1072	2008
348	1073	2002
349	1078	2003
350	1081	1999
351	1083	1993
352	1086	1990
353	1087	1985
354	1089	1979
355	1093	1977
356	1095	1973
357	1097	1968
358	1100	1965
359	1102	1959
360	1104	1954
361	1106	1949
362	1111	1949
363	1113	1944
364	1115	1941
365	1117	1935
366	1119	1930
367	1121	1925
368	1125	1925
369	1127	1920
370	1130	1917
371	1133	1913
372	1135	1908
373	1137	1903
374	1142	1904
375	1144	1899
376	1147	1896
377	1149	1891
378	1151	1886
379	1156	1886
380	1161	1886
381	1164	1884
382	1166	1879
383	1168	1874
384	1174	1876
385	1176	1872
386	1180	1869
387	1181	1864
388	1183	1859
389	1189	1861
390	1192	1856
391	1194	1853
392	1197	1849
393	1199	1844
394	1204	1844
395	1207	1842
396	1210	1838
397	1212	1834
398	1214	1830
399	1222	1833
400	1225	1829
401	1227	1826
402	1229	1821
403	1237	1824
404	1239	1820
405	1241	1817
406	1243	1812
407	1245	1807
408	1252	1809
409	1254	1805
410	1257	1801
411	1259	1796
412	1261	1792
413	1263	1788
414	1269	1789
415	1271	1784
416	1273	1780
417	1275	1776
418	1277	1771
419	1283	1772
420	1286	1768
421	1288	1764
422	1291	1761
423	1293	1757
424	1298	1756
425	1301	1753
426	1302	1748
427	1305	1744
428	1307	1740
429	1309	1735
430	1312	1732
431	1315	1729
432	1316	1724
433	1319	1720
434	1321	1716
435	1323	1711
436	1324	1706
437	1328	1704
438	1330	1700
439	1332	1696
440	1335	1692
441	1336	1687
442	1338	1683
443	1340	1678
444	1343	1675
445	1345	1671
446	1347	1667
447	1349	1662
448	1351	1658
449	1353	1654
450	1355	1649
451	1357	1645
452	1360	1642
453	1361	1637
454	1363	1633
455	1365	1628
456	1367	1625
457	1369	1620
458	1371	1616
459	1373	1612
460	1375	1608
461	1377	1604
462	1379	1600
463	1381	1595
464	1383	1591
465	1385	1587
466	1387	1583
467	1389	1579
468	1391	1575
469	1394	1572
470	1395	1567
471	1397	1563
472	1399	1559
473	1401	1555
474	1403	1551
475	1406	1548
476	1409	1545
477	1411	1541
478	1414	1538
479	1416	1534
480	1417	1529
481	1421	1527
482	1424	1524
483	1427	1521
484	1428	1517
485	1430	1512
486	1432	1509
487	1435	1505
488	1439	1503
489	1441	1500
490	1444	1497
491	1446	1493
492	1448	1489
493	1450	1485
494	1456	1485
495	1458	1481
496	1461	1479
497	1463	1474
498	1464	1470
499	1468	1468
500	1472	1466
501	1474	1463
502	1477	1459
503	1479	1455
504	1481	1451
505	1486	1450
506	1488	1447
507	1491	1444
508	1494	1441
509	1495	1437
510	1497	1433
511	1503	1432
512	1505	1429
513	1508	1426
514	1510	1422
515	1512	1418
516	1515	1415
517	1519	1413
518	1522	1411
519	1525	1407
520	1527	1404
521	1528	1400
522	1534	1399
523	1537	1397
524	1541	1394
525	1543	1390
526	1544	1386
527	1551	1386
528	1553	1382
529	1556	1379
530	1557	1375
531	1559	1372
532	1563	1370
